                              SF-a               SF-b               SF-c               SF-d               SF-e               SF-f               SF-g               SF-h               SF-i               SF-j               SF-k               SF-l               SF-m        |  |   Total
6:SRs:SZee_all           :1.40  +-  0.82  |  0.45  +-  0.19  |  0.05  +-  0.06  |  1.10  +-  0.44  |  0.02  +-  0.02  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.00  +-  0.00  |  -0.07 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   3.00+-0.95   
6:SRs:SZmumu_all         :0.62  +-  0.81  |  0.92  +-  0.57  |  -0.38 +-  0.00  |  -0.14 +-  0.00  |  -0.33 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.72+-1.08   
6:SRs:Ztt_all            :0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.00+-0.00   
6:SRs:ttbar_1in3         :4.36  +-  2.28  |  3.64  +-  1.84  |  4.55  +-  2.05  |  2.81  +-  1.63  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  15.36+-3.94   
6:SRs:top_1in3           :0.00  +-  0.00  |  0.00  +-  0.00  |  0.72  +-  0.72  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.72+-0.72   
6:SRs:antitop_1in3       :0.84  +-  0.84  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.13  +-  0.13  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.97+-0.85   
6:SRs:ZZ_1in3            :8.25  +-  1.15  |  2.60  +-  0.64  |  1.52  +-  0.48  |  2.70  +-  0.64  |  3.11  +-  0.69  |  1.93  +-  0.56  |  0.96  +-  0.39  |  0.13  +-  0.13  |  1.18  +-  0.43  |  0.59  +-  0.30  |  0.48  +-  0.28  |  1.06  +-  0.41  |  1.53  +-  0.49  |  |  26.04+-2.08   
6:SRs:WZ_1in3            :4.18  +-  0.57  |  1.34  +-  0.32  |  1.09  +-  0.29  |  0.98  +-  0.27  |  0.71  +-  0.24  |  0.26  +-  0.14  |  0.49  +-  0.19  |  0.52  +-  0.20  |  0.59  +-  0.21  |  0.00  +-  0.00  |  0.14  +-  0.10  |  0.39  +-  0.17  |  0.15  +-  0.11  |  |  10.85+-0.93   
6:SRs:WW_1in3            :12.07 +-  1.45  |  9.04  +-  1.22  |  10.94 +-  1.37  |  7.04  +-  1.10  |  1.60  +-  0.53  |  3.52  +-  0.79  |  3.14  +-  0.74  |  1.90  +-  0.55  |  0.37  +-  0.24  |  0.66  +-  0.33  |  0.68  +-  0.33  |  1.17  +-  0.45  |  0.71  +-  0.34  |  |  52.84+-3.16   

Total MC                 :31.71 +-  3.35  |  17.99 +-  2.41  |  18.49 +-  2.66  |  14.61 +-  2.16  |  5.11  +-  0.95  |  5.75  +-  0.98  |  4.59  +-  0.87  |  2.55  +-  0.60  |  2.12  +-  0.54  |  1.25  +-  0.45  |  1.31  +-  0.44  |  2.62  +-  0.64  |  2.39  +-  0.60  |  | 110.50+-6.11   
Observed                 :36.00 +-  6.04  |  21.00 +-  4.60  |  22.00 +-  4.71  |  11.00 +-  3.32  |  7.00  +-  2.65  |  5.00  +-  2.24  |  6.00  +-  2.45  |  4.00  +-  2.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  1.00  +-  1.00  |  1.00  +-  1.00  |  1.00  +-  1.00  |  | 118.00+-11.12  

6:SRs:SL550X001_all      :0.02  +-  0.02  |  0.00  +-  0.00  |  0.12  +-  0.05  |  1.23  +-  0.17  |  0.01  +-  0.01  |  0.03  +-  0.02  |  0.05  +-  0.03  |  1.18  +-  0.16  |  0.03  +-  0.02  |  0.18  +-  0.07  |  0.42  +-  0.10  |  2.24  +-  0.22  |  5.21  +-  0.35  |  |  10.73+-0.53   
S/rB                     :0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.01  |  0.32  +-  0.05  |  0.01  +-  0.01  |  0.01  +-  0.01  |  0.02  +-  0.01  |  0.74  +-  0.13  |  0.02  +-  0.01  |  0.16  +-  0.07  |  0.37  +-  0.10  |  1.38  +-  0.22  |  3.37  +-  0.48  |  |   1.02+-0.06   

6:SRs:SL400X250_all      :0.94  +-  0.27  |  1.52  +-  0.35  |  2.64  +-  0.48  |  6.68  +-  0.78  |  1.41  +-  0.37  |  2.85  +-  0.53  |  3.61  +-  0.57  |  3.54  +-  0.59  |  0.76  +-  0.22  |  1.69  +-  0.37  |  1.24  +-  0.29  |  0.88  +-  0.24  |  0.00  +-  0.00  |  |  27.74+-1.65   
S/rB                     :0.17  +-  0.05  |  0.36  +-  0.09  |  0.61  +-  0.12  |  1.75  +-  0.24  |  0.62  +-  0.17  |  1.19  +-  0.24  |  1.69  +-  0.31  |  2.21  +-  0.45  |  0.52  +-  0.17  |  1.51  +-  0.43  |  1.08  +-  0.31  |  0.54  +-  0.16  |  0.00  +-  0.00  |  |   2.64+-0.17   

6:SRs:SL300X200_all      :5.99  +-  1.24  |  11.65 +-  1.93  |  12.07 +-  2.13  |  8.68  +-  1.67  |  0.52  +-  0.37  |  1.71  +-  0.70  |  0.71  +-  0.37  |  1.22  +-  0.59  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  42.55+-3.78   
S/rB                     :1.06  +-  0.23  |  2.75  +-  0.49  |  2.81  +-  0.54  |  2.27  +-  0.47  |  0.23  +-  0.16  |  0.71  +-  0.30  |  0.33  +-  0.18  |  0.76  +-  0.38  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   4.05+-0.38   


