                              SF-a               SF-b               SF-c               SF-d               SF-e               SF-f               SF-g               SF-h               SF-i               SF-j               SF-k               SF-l               SF-m        |  |   Total
6:SRs:SZee_all           :4.65  +-  1.67  |  0.61  +-  0.69  |  1.55  +-  1.56  |  4.18  +-  1.63  |  -0.01 +-  0.00  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.06  +-  0.06  |  -0.07 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  11.01+-2.90   
6:SRs:SZmumu_all         :10.57 +-  2.41  |  2.72  +-  0.90  |  2.43  +-  0.96  |  2.55  +-  1.11  |  -0.07 +-  0.00  |  0.16  +-  0.15  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.02  +-  0.09  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.03  |  |  18.45+-2.99   
6:SRs:Ztt_all            :0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.00+-0.00   
6:SRs:ttbar_1in3         :12.73 +-  3.36  |  7.82  +-  2.59  |  11.71 +-  3.18  |  3.91  +-  1.84  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  36.18+-5.65   
6:SRs:top_1in3           :0.00  +-  0.00  |  3.44  +-  1.73  |  0.85  +-  0.71  |  0.77  +-  0.77  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   5.06+-2.02   
6:SRs:antitop_1in3       :0.81  +-  0.81  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.81+-0.81   
6:SRs:ZZ_1in3            :8.89  +-  1.19  |  2.85  +-  0.66  |  1.54  +-  0.49  |  2.68  +-  0.64  |  2.95  +-  0.67  |  2.09  +-  0.58  |  0.92  +-  0.38  |  0.25  +-  0.18  |  1.01  +-  0.39  |  0.58  +-  0.29  |  0.63  +-  0.32  |  1.06  +-  0.41  |  1.69  +-  0.51  |  |  27.15+-2.12   
6:SRs:WZ_1in3            :4.45  +-  0.58  |  1.80  +-  0.37  |  1.34  +-  0.33  |  1.06  +-  0.28  |  0.94  +-  0.27  |  0.33  +-  0.16  |  0.48  +-  0.18  |  0.52  +-  0.20  |  0.52  +-  0.20  |  0.00  +-  0.00  |  0.14  +-  0.10  |  0.39  +-  0.17  |  0.22  +-  0.13  |  |  12.18+-0.99   
6:SRs:WW_1in3            :15.63 +-  1.66  |  12.38 +-  1.45  |  14.56 +-  1.60  |  8.80  +-  1.25  |  2.14  +-  0.62  |  3.26  +-  0.77  |  3.21  +-  0.75  |  2.08  +-  0.58  |  0.38  +-  0.25  |  1.02  +-  0.42  |  0.89  +-  0.39  |  0.79  +-  0.36  |  1.14  +-  0.45  |  |  66.28+-3.61   

Total MC                 :57.75 +-  5.11  |  31.61 +-  3.74  |  33.98 +-  4.15  |  23.95 +-  3.18  |  5.95  +-  1.00  |  5.88  +-  0.99  |  4.63  +-  0.87  |  2.92  +-  0.64  |  1.87  +-  0.52  |  1.61  +-  0.52  |  1.66  +-  0.51  |  2.23  +-  0.57  |  3.08  +-  0.70  |  | 177.12+-9.07   
Observed                 :75.00 +-  8.79  |  41.00 +-  6.46  |  38.00 +-  6.21  |  19.00 +-  4.38  |  8.00  +-  2.83  |  6.00  +-  2.45  |  6.00  +-  2.45  |  4.00  +-  2.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  1.00  +-  1.00  |  | 204.00+-14.85  

6:SRs:SL550X001_all      :0.02  +-  0.02  |  0.00  +-  0.00  |  0.11  +-  0.05  |  1.14  +-  0.16  |  0.01  +-  0.01  |  0.03  +-  0.02  |  0.07  +-  0.03  |  1.19  +-  0.16  |  0.03  +-  0.02  |  0.14  +-  0.06  |  0.41  +-  0.09  |  2.15  +-  0.21  |  5.56  +-  0.37  |  |  10.85+-0.53   
S/rB                     :0.00  +-  0.00  |  0.00  +-  0.00  |  0.02  +-  0.01  |  0.23  +-  0.04  |  0.01  +-  0.01  |  0.01  +-  0.01  |  0.03  +-  0.02  |  0.70  +-  0.12  |  0.02  +-  0.02  |  0.11  +-  0.05  |  0.32  +-  0.09  |  1.44  +-  0.23  |  3.17  +-  0.42  |  |   0.81+-0.05   

6:SRs:SL400X250_all      :1.01  +-  0.28  |  1.72  +-  0.37  |  2.45  +-  0.47  |  6.88  +-  0.79  |  1.41  +-  0.37  |  2.38  +-  0.49  |  3.82  +-  0.57  |  3.77  +-  0.61  |  0.76  +-  0.22  |  2.08  +-  0.41  |  1.58  +-  0.37  |  1.01  +-  0.26  |  0.00  +-  0.00  |  |  28.87+-1.69   
S/rB                     :0.13  +-  0.04  |  0.31  +-  0.07  |  0.42  +-  0.09  |  1.40  +-  0.19  |  0.58  +-  0.16  |  0.98  +-  0.22  |  1.78  +-  0.31  |  2.21  +-  0.43  |  0.55  +-  0.18  |  1.64  +-  0.42  |  1.23  +-  0.34  |  0.68  +-  0.19  |  0.00  +-  0.00  |  |   2.17+-0.14   

6:SRs:SL300X200_all      :6.19  +-  1.25  |  13.27 +-  2.14  |  12.95 +-  2.18  |  8.67  +-  1.62  |  0.90  +-  0.52  |  2.16  +-  0.78  |  1.14  +-  0.48  |  1.22  +-  0.59  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  46.50+-3.96   
