                              SF-a               SF-b               SF-c               SF-d               SF-e               SF-f               SF-g               SF-h               SF-i               SF-j               SF-k               SF-l               SF-m        |  |   Total
1:SRs:SZee_all           :4.65  +-  1.67  |  0.61  +-  0.69  |  1.55  +-  1.56  |  4.18  +-  1.63  |  -0.01 +-  0.00  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.06  +-  0.06  |  -0.07 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  11.01+-2.90   
1:SRs:SZmumu_all         :10.57 +-  2.40  |  2.72  +-  0.90  |  2.43  +-  0.96  |  2.55  +-  1.11  |  -0.07 +-  0.00  |  0.16  +-  0.15  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.02  +-  0.09  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.03  |  |  18.45+-2.99   
1:SRs:Ztt_all            :0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.00+-0.00   
1:SRs:ttbar_1in3         :12.74 +-  3.36  |  7.83  +-  2.59  |  11.72 +-  3.18  |  3.92  +-  1.85  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  36.21+-5.65   
1:SRs:top_1in3           :0.00  +-  0.00  |  3.44  +-  1.73  |  0.85  +-  0.71  |  0.77  +-  0.77  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   5.07+-2.03   
1:SRs:antitop_1in3       :0.82  +-  0.82  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.82+-0.82   
1:SRs:Sllvv_all          :22.30 +-  1.55  |  10.58 +-  1.18  |  13.28 +-  1.27  |  7.49  +-  2.03  |  3.32  +-  0.82  |  1.49  +-  0.53  |  3.97  +-  0.60  |  4.28  +-  0.76  |  3.19  +-  0.80  |  1.57  +-  0.38  |  2.54  +-  0.54  |  3.03  +-  0.68  |  2.22  +-  0.54  |  |  79.25+-3.92   
1:SRs:WZ_1in3            :4.22  +-  0.55  |  1.71  +-  0.35  |  1.27  +-  0.31  |  1.01  +-  0.27  |  0.89  +-  0.26  |  0.32  +-  0.15  |  0.45  +-  0.17  |  0.49  +-  0.19  |  0.49  +-  0.19  |  0.00  +-  0.00  |  0.14  +-  0.10  |  0.37  +-  0.16  |  0.21  +-  0.12  |  |  11.55+-0.94   

Total MC                 :55.29 +-  4.91  |  26.88 +-  3.57  |  31.10 +-  4.00  |  19.91 +-  3.49  |  4.13  +-  0.91  |  1.99  +-  0.57  |  4.45  +-  0.63  |  4.84  +-  0.78  |  3.64  +-  0.83  |  1.57  +-  0.38  |  2.68  +-  0.55  |  3.39  +-  0.70  |  2.46  +-  0.56  |  | 162.34+-8.81   
Observed                 :75.00 +-  8.79  |  41.00 +-  6.46  |  38.00 +-  6.21  |  19.00 +-  4.38  |  8.00  +-  2.83  |  6.00  +-  2.45  |  6.00  +-  2.45  |  4.00  +-  2.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  1.00  +-  1.00  |  | 204.00+-14.85  

