                              SF-a               SF-b               SF-c               SF-d               SF-e               SF-f               SF-g               SF-h               SF-i               SF-j               SF-k               SF-l               SF-m        |  |   Total
1:SRs:SZee_all           :1.39  +-  0.80  |  0.49  +-  0.19  |  0.05  +-  0.06  |  0.41  +-  0.19  |  0.02  +-  0.02  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  -0.07 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   2.30+-0.85   
1:SRs:SZmumu_all         :0.38  +-  0.74  |  0.89  +-  0.57  |  -0.33 +-  0.00  |  -0.14 +-  0.00  |  -0.33 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.50+-1.03   
1:SRs:Ztt_all            :0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.00+-0.00   
1:SRs:ttbar_1in3         :4.34  +-  2.26  |  3.62  +-  1.83  |  5.41  +-  2.23  |  1.79  +-  1.27  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  15.16+-3.89   
1:SRs:top_1in3           :0.00  +-  0.00  |  0.00  +-  0.00  |  0.71  +-  0.71  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.71+-0.71   
1:SRs:antitop_1in3       :0.84  +-  0.84  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.13  +-  0.13  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.96+-0.85   
1:SRs:ZZ_1in3            :8.27  +-  1.15  |  2.75  +-  0.66  |  1.53  +-  0.48  |  2.58  +-  0.63  |  3.12  +-  0.69  |  1.94  +-  0.56  |  0.97  +-  0.40  |  0.38  +-  0.22  |  1.18  +-  0.43  |  0.59  +-  0.30  |  0.48  +-  0.28  |  0.94  +-  0.39  |  1.53  +-  0.49  |  |  26.27+-2.09   
1:SRs:WZ_1in3            :4.19  +-  0.57  |  1.50  +-  0.34  |  1.10  +-  0.29  |  0.99  +-  0.27  |  0.71  +-  0.24  |  0.26  +-  0.14  |  0.50  +-  0.19  |  0.52  +-  0.20  |  0.53  +-  0.20  |  0.00  +-  0.00  |  0.14  +-  0.10  |  0.39  +-  0.18  |  0.22  +-  0.13  |  |  11.05+-0.94   
1:SRs:WW_1in3            :8.45  +-  1.02  |  6.90  +-  0.90  |  7.97  +-  0.98  |  5.39  +-  0.81  |  1.36  +-  0.41  |  2.50  +-  0.56  |  2.23  +-  0.53  |  1.22  +-  0.37  |  0.27  +-  0.17  |  0.47  +-  0.24  |  0.49  +-  0.23  |  0.68  +-  0.28  |  0.66  +-  0.29  |  |  38.57+-2.28   

