                              SF-a               SF-b               SF-c               SF-d               SF-e               SF-f               SF-g               SF-h               SF-i               SF-j               SF-k               SF-l               SF-m        |  |   Total
5:SRs:SZee_all           :4.47  +-  1.61  |  0.58  +-  0.66  |  1.49  +-  1.50  |  4.02  +-  1.57  |  -0.01 +-  0.00  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.06  +-  0.06  |  -0.06 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  10.58+-2.79   
5:SRs:SZmumu_all         :9.69  +-  2.20  |  2.49  +-  0.82  |  2.23  +-  0.88  |  2.34  +-  1.02  |  -0.06 +-  0.00  |  0.15  +-  0.14  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.02  +-  0.08  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.03  |  |  16.91+-2.74   
5:SRs:Ztt_all            :0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.00+-0.00   
5:SRs:ttbar_1in3         :12.03 +-  3.18  |  7.39  +-  2.45  |  11.07 +-  3.01  |  3.70  +-  1.74  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  34.19+-5.34   
5:SRs:top_1in3           :0.00  +-  0.00  |  3.25  +-  1.63  |  0.81  +-  0.67  |  0.73  +-  0.73  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   4.79+-1.91   
5:SRs:antitop_1in3       :0.77  +-  0.77  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.77+-0.77   
5:SRs:ZZ_1in3            :7.22  +-  0.97  |  2.31  +-  0.54  |  1.25  +-  0.40  |  2.18  +-  0.52  |  2.40  +-  0.54  |  1.70  +-  0.47  |  0.75  +-  0.31  |  0.21  +-  0.15  |  0.82  +-  0.32  |  0.47  +-  0.24  |  0.51  +-  0.26  |  0.86  +-  0.33  |  1.37  +-  0.41  |  |  22.04+-1.72   
5:SRs:WZ_1in3            :3.61  +-  0.47  |  1.46  +-  0.30  |  1.08  +-  0.27  |  0.86  +-  0.23  |  0.76  +-  0.22  |  0.27  +-  0.13  |  0.39  +-  0.15  |  0.42  +-  0.16  |  0.42  +-  0.16  |  0.00  +-  0.00  |  0.12  +-  0.08  |  0.31  +-  0.14  |  0.18  +-  0.10  |  |   9.89+-0.80   
5:SRs:WW_1in3            :8.73  +-  0.93  |  6.91  +-  0.81  |  8.13  +-  0.90  |  4.91  +-  0.70  |  1.19  +-  0.35  |  1.82  +-  0.43  |  1.79  +-  0.42  |  1.16  +-  0.32  |  0.21  +-  0.14  |  0.57  +-  0.24  |  0.50  +-  0.22  |  0.44  +-  0.20  |  0.63  +-  0.25  |  |  37.00+-2.02   

Total MC                 :46.53 +-  4.57  |  24.40 +-  3.32  |  26.06 +-  3.71  |  18.73 +-  2.82  |  4.28  +-  0.74  |  3.96  +-  0.67  |  2.95  +-  0.54  |  1.85  +-  0.40  |  1.41  +-  0.39  |  1.04  +-  0.34  |  1.13  +-  0.35  |  1.61  +-  0.41  |  2.21  +-  0.50  |  | 136.17+-7.86   
Observed                 :75.00 +-  8.79  |  41.00 +-  6.46  |  38.00 +-  6.21  |  19.00 +-  4.38  |  8.00  +-  2.83  |  6.00  +-  2.45  |  6.00  +-  2.45  |  4.00  +-  2.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  1.00  +-  1.00  |  | 204.00+-14.85  

5:SRs:SL550X001_all      :0.02  +-  0.02  |  0.00  +-  0.00  |  0.11  +-  0.05  |  1.14  +-  0.16  |  0.01  +-  0.01  |  0.03  +-  0.02  |  0.07  +-  0.03  |  1.19  +-  0.16  |  0.03  +-  0.02  |  0.14  +-  0.06  |  0.41  +-  0.09  |  2.15  +-  0.21  |  5.56  +-  0.37  |  |  10.85+-0.53   
S/rB                     :0.00  +-  0.00  |  0.00  +-  0.00  |  0.02  +-  0.01  |  0.26  +-  0.04  |  0.01  +-  0.01  |  0.01  +-  0.01  |  0.04  +-  0.02  |  0.87  +-  0.15  |  0.02  +-  0.02  |  0.14  +-  0.07  |  0.38  +-  0.11  |  1.69  +-  0.27  |  3.73  +-  0.49  |  |   0.93+-0.05   

5:SRs:SL400X250_all      :1.01  +-  0.28  |  1.72  +-  0.37  |  2.45  +-  0.47  |  6.88  +-  0.79  |  1.41  +-  0.37  |  2.38  +-  0.49  |  3.82  +-  0.57  |  3.77  +-  0.61  |  0.76  +-  0.22  |  2.08  +-  0.41  |  1.58  +-  0.37  |  1.01  +-  0.26  |  0.00  +-  0.00  |  |  28.87+-1.69   
S/rB                     :0.15  +-  0.04  |  0.35  +-  0.08  |  0.48  +-  0.10  |  1.59  +-  0.22  |  0.68  +-  0.19  |  1.19  +-  0.27  |  2.22  +-  0.39  |  2.77  +-  0.54  |  0.64  +-  0.21  |  2.04  +-  0.52  |  1.49  +-  0.42  |  0.80  +-  0.23  |  0.00  +-  0.00  |  |   2.47+-0.16   

